id,name,city,state,historical_booking_count,genre_history_count,has_capacity,has_genre_history,has_coordinates,has_resolved_market
venue_43934b4921345328b4081ab2177c3136,Mercedes-Benz Stadium,Atlanta,GA,10,7,True,True,False,True
venue_a6ce46cb101c5f4181336733dc34ebe4,PPG Paints Arena,Pittsburgh,PA,10,11,True,True,False,True
venue_8938574008ea58c8bd3915583788a165,Radius - Chicago,Chicago,IL,10,1,True,True,False,True
venue_6a63fd36903f5559bbad474d8a5c30d9,Skyline Stage at Highmark Mann,Philadelphia,PA,10,8,True,True,False,True
venue_86abfb18d78d50168cec31d37d1e1778,Sun Sets at View Boston,Boston,MA,10,1,False,True,False,True
venue_2f1766e0258f5980a5312e2473328469,Tabernacle Presented by iTHINK Financial,Atlanta,GA,10,7,True,True,False,True
venue_8e03252747f35a488d4419ea3609c351,Austin City Limits Live at The Moody Theater,Austin,TX,9,8,False,True,False,True
venue_3018108f5bff5434a592bc4e31d17e2d,Berlin,New York,NY,9,2,True,True,False,True
venue_c854c5dbf9895bc89a3a0522ccb44cd4,Chase Center,San Francisco,CA,9,5,False,True,False,True
venue_ce34fa8f14e1542dbdf0c18247070f92,Empty Bottle,Chicago,IL,9,3,True,True,False,True
venue_6909da83b1fe55228575ba4ce21e512a,Marquee New York,New York,NY,9,3,True,True,False,True
venue_1cfcdf91ed225ecda8f87a7fd003c7ef,Moore Theatre,Seattle,WA,9,6,False,True,False,True
venue_c81e28b40ca1547299e96387f908136a,Nissan Stadium,Nashville,TN,9,2,False,True,False,True
venue_ea91c091421f581c8e4e655f45d78e86,Shrine Expo Hall,Los Angeles,CA,9,0,False,False,False,True
venue_0807d2f7f7c958e2962cc5fd0d78c061,Stubb's Waller Creek Amphitheater,Austin,TX,9,8,False,True,False,True
venue_b4178d6ef9725212b24633ab3305f109,The Concourse Project,Austin,TX,9,1,False,True,False,True
venue_3149ddc1bde25542b213eec97f0a35ff,The Midway,San Francisco,CA,9,2,False,True,False,True
venue_fdb5c7b6caa75a65bd3adf9474cd1d9b,The Shelter,Detroit,MI,9,3,True,True,False,True
venue_4c0bd0c539735c748bb14c162cf4d53f,Wolstein Center at CSU,Cleveland,OH,9,3,True,True,False,True
venue_a3cd00beb960592691c9036d31c971e8,Bowery Palace,New York,NY,8,4,True,True,False,True
venue_a69e29edd4c250ed8a594f19dbda4701,"Circle Line Cruises, Pier 83",New York,NY,8,3,True,True,False,True
venue_cc7f542e690b5daf9687796d245a39c0,DAR Constitution Hall,Washington,DC,8,4,True,True,False,True
venue_e9aff5d72a645597a6b38a6583944b82,Festival Hall At Navy Pier,Chicago,IL,8,1,False,True,False,True
venue_483a50c67b315dd1b9af9628914eab04,Greek Theatre-Los Angeles,Los Angeles,CA,8,3,False,True,False,True
venue_1687382d2c1e5185b71d753a91c3b1e0,Morton Meyerson Symphony Center,Dallas,TX,8,1,False,True,False,True
venue_d154e4aa6e5656d598ee626194e76746,Orpheum Theatre,Los Angeles,CA,8,5,False,True,False,True
venue_69d639492ca9576c867b5997e3ed230d,Symphony Center-IL,Chicago,IL,8,1,True,True,False,True
venue_a981720a39e55dc8a53c817eb7949a73,TSDMAAC (Catacombs),Detroit,MI,8,2,False,True,False,True
venue_2ee9d8d2cc7c56da9288d313bc9a961d,The Cambridge Room at House of Blues Cleveland,Cleveland,OH,8,4,True,True,False,True
venue_256f6d93e9b257e980d14fb88436a674,The Novo by Microsoft,Los Angeles,CA,8,4,True,True,False,True
venue_ec6805a8e42d5ffb8146634169ec97dd,Trees,Dallas,TX,8,2,False,True,False,True
venue_e64bf500e77e5a76a435e3a1f4598377,Union Park,Chicago,IL,8,0,False,False,False,True
venue_a52ccdac077559f88e0bb2de1956ee8d,Brick and Mortar Music Hall,San Francisco,CA,7,5,False,True,False,True
venue_02b28519ab9054d98f87fbdd5e2dd8ed,Cobb Energy Performing Arts Centre,Atlanta,GA,7,4,True,True,False,True
venue_d4d13ee926e856cf8c394a5787985f4a,Credit Union 1 Arena at UIC,Chicago,IL,7,2,True,True,False,True
venue_00332458adf45c358307092334d0b96b,Navy Pier,Chicago,IL,7,2,True,True,False,True
venue_5d4e3214577b5484812dcef420a65a49,Ramova Theatre,Chicago,IL,7,2,True,True,False,True
venue_c825b69545b95d4fbddccbb782e088ec,Ray Charles Terrace at GRAMMY Museum L.A. Live,Los Angeles,CA,7,5,False,True,False,True
venue_440b9a17c4da53c5ab4f973acb5bbc73,The Broadberry,Richmond,VA,7,12,True,True,False,True
