id,name,historical_booking_count,genre_count,has_musicbrainz_id,has_genre_data,has_lastfm_audience_data,has_artist_popularity
artist_bbd7faddefac5e6bb21861ec70912ae2,Saint Harison,7,1,False,True,False,False
artist_ff7567b6344e59fe9fc5650555e0978f,Save Ferris,7,3,False,True,False,False
artist_44963224e03b5bdf8eb11c3471a0638f,Shoshana Bean,7,1,False,True,False,False
artist_cac9c86cf309559ea097db272a4db533,Showing Teeth,7,1,False,True,False,False
artist_9a06ce5e45015a9da154884e96a5c00d,Sk8star,7,2,False,True,False,False
artist_d98e73dce3cf523ca8b5388d6ab04614,Tele Novella,7,6,False,True,True,True
artist_b7683eafea1c5c79a928c533845d3651,The Callous Daoboys,7,2,False,True,False,False
artist_73249da2e398548ea28851c243d0a787,The Rasmus,7,6,False,True,True,True
artist_f2ea80bf4c9b5c71b61dd0415304ce6b,The Suicide Machines,7,3,True,True,False,False
artist_273b045ae924596b959d68460808590a,Until I Wake,7,7,False,True,True,True
artist_120655bc7446569f91e43ad2bd26ad6d,Xavier Wulf,7,2,False,True,False,False
artist_45ac6a7a2b10590ab221518d9003f4b3,Yeat,7,2,False,True,False,False
artist_7d7b5a3e24b2502bb40893dd792d22b6,3BallMTY,6,4,False,True,False,False
artist_442916e2d11a5f1c8af44e94e91b1ddb,3Quency,6,1,False,True,False,False
artist_d46c54a50d9a5530b2148c5e6e4a61f6,ASAKE,6,7,False,True,True,True
artist_20f4b82becb05279b99525d8d174f9b0,Allan Harris,6,1,False,True,False,False
artist_91476e0fd15f52b581f2b546fee9cfec,Archers,6,6,False,True,True,True
artist_7a1a00432fb8591188474bc0a478d573,Arden Jones,6,7,False,True,True,True
artist_0b33c354661d506c8b5a0f33fa82d116,BIIRD,6,1,False,True,False,False
artist_b48a1e49c7d753c280f61e3c91e82e66,Big Thief,6,2,False,True,False,False
artist_ee7959e78e1a5deca15ae96da7454fad,Billy Currington,6,6,False,True,True,True
artist_d8f030d947bd5e9b8927d6df4a453589,Bilmuri,6,4,False,True,False,False
artist_584ce2d1ad90591593cce50bbc826068,Bob James,6,1,False,True,False,False
artist_f5112e96005d59ddb81f8896e459387f,Bon Jovi,6,2,False,True,False,False
artist_7510b6a78ba35b2fa4489c2fbb001a23,Bosses,6,2,False,True,False,False
artist_d60dde510a5a5f9ca9eb8be169fc7865,Broadway Rave,6,2,False,True,False,False
artist_a5dac5cdc1a552558c464f63ba67c0c2,Broken Social Scene,6,5,False,True,False,False
artist_72d1825c6f2156729eeacf2c598e7158,Bruno Mars,6,5,False,True,True,True
artist_c96aaf5453555a80ae85ee363a8675a9,CATSCLAW,6,2,False,True,False,False
artist_93ecfd0234975758a14fee895d3a872c,Charles Mingus Orchestra,6,1,False,True,False,False
artist_76308c0fe340513eb8fbc5eacb5bcb91,Charlotte Sands,6,6,False,True,True,True
artist_4f59d04f6832580fb3a55c5609609f3b,Chayanne,6,6,False,True,True,True
artist_3bb4ee09725759b187bc295bc7514adb,Circa Survive,6,5,False,True,False,False
artist_7c89bb0dfe5051d8a77d9ded6b4afbe2,Clarent,6,3,False,True,False,False
artist_222a03d34ade52b8b4ab1455d3729d0b,Congress the Band,6,1,True,True,False,False
artist_730f3e5d9fc55ca99d50df4d70c10bdc,Corbyn Besson,6,1,False,True,False,False
artist_f655ca79fb6953dd9b2bef17a8b2baf4,Crankdat,6,7,False,True,True,True
artist_b8c87657eff45bfe80411330b94b271d,DJ Pee .Wee,6,1,False,True,False,False
artist_6b0ff30d0b0e5c398bb2a4482f3c49dc,Dark Chapel,6,7,False,True,True,True
artist_5f665628c24a548bbb23fdd6b7de0930,Dillon Francis,6,5,False,True,False,False
artist_77c8281c3b8e5aed83c4c571bdc34462,Dixson,6,1,False,True,False,False
artist_a11d6476562557d189df04617258ae95,Dwellings,6,7,False,True,True,True
artist_7a28c71fab935ac584b31eb3ce87b3d3,Elevation Rhythm,6,3,True,True,False,False
artist_30dd71e1d16f52d19f160f9743970413,Emo Night Brooklyn,6,2,False,True,False,False
artist_9df23dcec5a15301b338e15e2251484f,Empire of the Sun,6,9,False,True,True,True
artist_bbba3e60eca05a8db627a834df91e6bc,Eric Nam,6,2,False,True,False,False
artist_74734d6077bc5c329b03ac06a533191c,Evening Elephants,6,2,False,True,False,False
artist_4a3fdbb57ee057eeb52644d4b1798710,Faetooth,6,2,False,True,False,False
artist_0c47e05f132d5e698a9e943e755efe7b,Ghost Mountain,6,4,False,True,False,False
artist_5e6b0d23be415adc9ef5fafa892528db,Grouper,6,9,False,True,True,True
artist_1f46b1b6a789502fafc7bc9700dc2e6d,Gurriers,6,7,False,True,True,True
artist_36514bdbfc1d5a14af0cb7b073f21fc3,Hail the Sun,6,3,False,True,False,False
artist_a9bec9ab019750e98e73f781bf2fa503,Hilary Duff,6,1,False,True,False,False
artist_22775c8f2f0b50bc846ed2e7b894c57c,Howard Jones,6,6,False,True,True,True
artist_e7d62246de985b8fb7eaea75e56fba41,Hypocrisy,6,1,False,True,False,False
artist_c4c9fcbc85175a7b925480e688180bdb,Jade LeMac,6,2,False,True,False,False
artist_8ad92f6e68b955d3ac30c3f8f628ee81,Jimmy Bruno Group,6,1,False,True,False,False
artist_8937cf7c23d55ec9a8400cc48ac845d3,Jonas Brothers,6,1,False,True,False,False
artist_ab9ea6ac0b2156ac96c62a7c889d596a,Juanes,6,6,False,True,True,True
artist_9369dca738cc54779ed7cd5265263e9e,Kamelot,6,3,False,True,False,False
artist_11daedddbec457efb34835888a641f1d,Keyon Harrold,6,1,False,True,False,False
artist_e03134cba9bf57c4a2f866502c5cfe5d,KiNG MALA,6,3,False,True,False,False
artist_4bac84d2b9bd51ba8eae332f78266e98,Knuckle Puck,6,2,False,True,False,False
artist_1f2e50e7c7a456e4b72f33db7eed85b1,LA LOM,6,8,False,True,True,True
artist_748401e508625a659c53a1984826e1b1,LAUNDRY DAY,6,3,False,True,False,False
artist_be02667b266354979f97de9b3c227d50,LP,6,4,False,True,False,False
artist_f5aef7721af95559bc3b6958600bd207,La Roux,6,3,False,True,False,False
artist_b27de671c8255f6cab9978e714bbd557,Labrinth,6,4,False,True,False,False
artist_202ba22032915750901beffeefe041e9,Lake Street Dive,6,5,False,True,False,False
artist_76c2810b48a952bf9cdc7efa0a731173,Latter,6,2,True,True,False,False
artist_89b64388634b53168849a1e3359461c1,Liz Phair,6,4,False,True,False,False
artist_b0129e8298d859359b3c4ad2069f9925,Max McNown,6,1,False,True,False,False
artist_990963ddb2895ea781021fc5020be3c3,Maya Azucena,6,1,False,True,False,False
artist_b65c115c513358f5ae4a43d52e91878e,Messa,6,8,False,True,True,True
artist_7118fc5f3903577ea02f5f24d3e282a4,Metric,6,3,False,True,False,False
artist_949d1818794b55e386dc909879b4a460,Michael Marcagi,6,2,False,True,False,False
artist_8d8a713ef1d65cf8951b82146187d5f7,Mike D,6,6,False,True,True,True
artist_fec82f59fce05440a81f16696b020334,Mingus Orchestra,6,0,False,False,False,False
artist_42267496664c56ce9669a3ba9ead9806,Modern English,6,7,False,True,True,True
artist_bf6718887b325436938089e6df24fb97,Morgan Wallen,6,2,False,True,False,False
artist_e25470e511b4546e8289b1826ca91c61,Nine Vicious,6,2,False,True,False,False
artist_7e81ffd00ee457589d2c2720f4d9704b,Nitzer Ebb,6,10,True,True,True,True
artist_f1c7cda382fb5677b2c51c42bc2576ce,POiSON GiRL FRiEND,6,1,False,True,False,False
artist_9f771193b5665eaba8c0bd656f40cbe3,Peaches,6,9,False,True,True,True
artist_730e8bc268aa56bfab6d19e99b75a0c0,Pi'erre Bourne,6,7,False,True,True,True
artist_fe559acad9de5575b3705dbb23f1345d,R&B ONLY,6,1,False,True,False,False
artist_32040e9dbba75c8ead0a1044a355115e,R&B ONLY LIVE,6,1,False,True,False,False
artist_a5a1ce8749ff5905b995cdfc3ef20505,Richard Blade,6,3,False,True,True,True
artist_1d85e9d804905c48bf51482c63792718,Ryan Oakes,6,2,False,True,False,False
artist_910ea67f61d4502bb38fd8642e73d939,Samara Joy,6,1,False,True,False,False
artist_18727040a20c50698bde7fff7c5da48c,Shaboozey,6,2,False,True,False,False
artist_1b25283d60e25bfcb1998a6a07d56663,Shaky Knees Music Festival,6,0,True,False,False,False
artist_89e826698d82540ab4f2361bb79ccce3,Sincere Engineer,6,8,False,True,True,True
artist_f5b865d7f783599889b39c8488294f3f,Sleater-Kinney,6,6,False,True,False,False
artist_7a43b4cab77052d785783208c2daa4a1,Soul Blind,6,6,False,True,True,True
